ID,Nome
305330,Garanzia3 Grpd3500 Estensione Garanzia 3 Anni Per Prodotti Fino A 500 Euro
305331,Garanzia3 Grpd31000 Estensione Garanzia 3 Anni Per Prodotti Fino A 1000 Euro
305332,Garanzia3 Grpd32000 Estensione Garanzia 3 Anni Per Prodotti Fino A 2000 Euro
305333,Garanzia3 Grpd35000 Estensione Garanzia 3 Anni Per Prodotti Fino A 5000 Euro
498760,<b>BRP069B45</b>
552408,<b>AR50F12C1BHNEU AR50F12C1BHXEU</b>
553332,<b>DOLCECLIMA-AIRPRO14</b>
556298,<b>CO10</b>
560030,Hisense <b>RT600N4WC2</b>
560515,<b>SOGNIDORO-12E</b>
560844,<b>SOGNIDORO-09E</b>
572333,<b>PACES72CLASSIC</b>
572454,<b>AR50F09C1BHNEU + AR50F09C1BHXEU</b>
572458,<b>MSZ-DW25VF + MUZ-DW25VF</b>
572459,<b>MSZ-DW35VF + MUZ-DW35VF</b>
572567,<b>MSZ-DW50VF + MUZ-DW50VF</b>
572958,<b>APOLLO-12HP</b>
579113,<b>NZ64B5045GK</b>
579725,<b>ATXD25A ARXD25A</b>
579726,<b>ATXD35A ARXD35A</b>
579727,<b>ATXP25N ARXP25N</b>
579728,<b>ATXP35N ARXP35N</b>
581172,<b>ATXF71A ARXF71A</b>
581367,<b>MILO-PLUS-13</b>
582124,<b>HAS09TABIN + H1U09TABOUT</b>
582125,<b>HAS12TABIN + H1U12TABOUT</b>
582694,Smeg <b>WHT814ASIT</b>
584591,<b>AR09TXHQBWKNEU AR09TXHQBWKXEU</b>
584608,<b>CU-BZ35ZKE + CS-BZ35ZKE</b>
584645,<b>9794071</b>
584672,<b>989804295 </b>
584673,<b>989804208</b>
584688,<b>VB16</b>
584696,Vecamco VB14 <b>9794189 </b>Staffa di supporto del condizionatore d'aria premontata in acciaio con livella 150kg, 450X400X800 2mm
584702,Vecamco <b>989905701</b> accessorio per aria condizionata Tubo flessibile
584706,Vecamco <b>9105001 </b>prodotto per la pulizia 400 ml Schiuma
584791,Vecamco VB14 <b>9794190 </b>Staffa di supporto del condizionatore d'aria premontata in acciaio con livella 120kg, 520X400X800 2mm
585388,<b>AR12TXHQBWKNEU AR12TXHQBWKXEU</b>
585985,<b>CU-BZ25ZKE + CS-BZ25ZKE</b>
587843,<b>9794004</b>
591848,<b>FTXC35D RXC35D </b>
591849,<b>FTXC25D RXC25D</b>
595185,<b>THOR-PLUS15</b>
595628,Samsung <b>WW11DB7B94GBU3</b>
596353,<b>ATXC35D ARXC35D</b>
596354,<b>ATXC25D ARXC25D</b>
601016,<b>CL200035E CL2000UW35E</b>
601017,<b>CL200026E CL2000UW26E</b>
601510,<b>ATXM25A ARXM25A</b>
601511,<b>ATXM35A ARXM35A</b>
601512,<b>ATXM50A ARXM50A</b>
601514,<b>ATXF50F ARXF50F</b>
601517,<b>ATXF60F ARXF60A</b>
601518,<b>ATXF71F ARXF71A</b>
601521,<b>2AMXM40M + ATXM25A + ATXM25A</b>
601522,<b>2AMXM40M + ATXM35A + ATXM25A</b>
601524,<b>3AMXM52N + 3x ATXM25A</b>
601525,<b>3AMXM52N + 2x ATXM25A + ATXM35A</b>
601526,<b>3AMXF52A9 + 3x ATXF25G</b>
601527,<b>3AMXF52A9 + 2x ATXF25G + ATXF35G </b>
601528,<b>2AMXF40A + ATXF25G + ATXF25G</b>
601529,<b>2AMXF40A + ATXF35G + ATXF25G</b>
601530,<b>2AMXF50A + ATXF35G + ATXF35G</b>
601531,<b>2AMXF50A + ATXF35G + ATXF25G</b>
601532,<b> 2AMXF50A + ATXF25G + ATXF25G </b>
602596,<b>2AMXM50M + ATXM35A + ATXM25A </b>
602676,<b>2AMXM50M + ATXM35A + ATXM35A</b>
603369,<b>MDDPE-50DEN7</b>
603432,<b>CY09RAIN-A CY09RAOUT-A</b>
603433,<b>CY12RAIN-A CY12RAOUT-A</b>
603434,<b>CY18RAIN-A CY18RAOUT-A </b>
603435,<b>CY24RAIN-A CY24RAOUT-A</b>
604453,<b>BEHPG125 + BEHPG126</b>
604454,<b>BEHPG095 + BEHPG096</b>
604682,<b>PORTASPLIT-12HP</b>
604707,<b>COOL4000</b>
604708,<b>COOL2000</b>
605190,<b>ISIDE-WF10</b>
605626,<b>PACAP98GENTLEJET</b>
605652,<b>ALPHA-PLUS-13HP</b>
605752,<b>CY2T14AOUT-A</b> + <b>CY09RAINMA</b> + <b>CY09RAINMA</b>
605753,<b>CY2T14AOUT-A</b> + <b>CY12RAINMA</b> + <b>CY09RAINMA</b>
605754,<b>CY2T18AOUT-A + CY12RAINMA + CY12RAINMA</b>
605821,<b>CY09RAIN-A CY09RAOUT-A</b>
605822,<b>CY12RAIN-A CY12RAOUT-A</b>
605823,<b>CY18RAIN-A CY18RAOUT-A </b>
605824,<b>CY24RAIN-A + CY24RAOUT-A</b>
605825,<b>BEHPG185 + BEHPG186</b>
605846,<b>DV90DG52A0AHET</b>
606685,<b>BGMPO271 + BGMPI095 + BGMPI095 + BGMPI125</b>
607863,Whirlpool  <b>WH7IA15AM6L0</b>
608736,<b>CL200053E CL2000UW53E</b>
608737,<b>CL200070E CL2000UW70E </b>
608738,<b>CL5000M41/2E</b> + <b>CL2000UW26E + CL2000UW26E </b>
608745,<b>CL5000M53/2E + CL2000UW26E + CL2000UW35E</b>
608746,<b>CL5000M53/2E + CL2000UW35E +CL2000UW35E</b>
608747,<b>CL5000M53/2E</b>+ <b>CL2000UW26E + CL2000UW53E</b>
608919,<b>CL5000M53/2E</b>+ <b>CL2000UW26E + CL2000UW26E</b>
608981,<b>CL5000M824E + CL2000UW53E + CL2000UW53E</b>
608982,<b>CL5000M824E + CL2000UW26E + CL2000UW53E</b>
